"src","pat_text"
"drug","2-amino-2-methyl-1-propanol"
"drug","2-amino-5-nitrothiazole"
"drug","2-aminophenol"
"drug","2-azetidinecarboxylic acid, (+)-"
"drug","2-benzylheptanol"
"drug","2-bromo-2-methylpropane"
"drug","2-bromo-2-nitroethanol"
"drug","2-bromobutane"
"drug","2-butanoyloxybenzoate"
"drug","2-butoxyethanol"
"drug","2-butylaminoethanol"
"drug","2-butyloctyl methacrylate"
"drug","2-carboxyethyl acrylate"
"drug","2-chloro-4,5-dimethylphenol"
"drug","2-deoxyglucose"
"drug","2-diethylaminoethanol"
"drug","2-ethoxyethanol"
"drug","2-ethyl-1,6-hexanediol"
"drug","2-ethyl-4-(2,2,3-trimethylcyclopent-3-en-1-yl)but-2-en-1-ol"
"drug","2-ethylaminoethanol"
"drug","2-ethylhexanoic acid"
"drug","2-ethylhexanol"
"drug","2-ethylhexyl 4-phenylbenzophenone-2'-carboxylate"
"drug","2-ethylhexyl acrylate"
"drug","2-ethylhexyl benzoate"
"drug","2-ethylhexyl glycidyl ether"
"drug","2-ethylhexyl stearate"
"drug","2-glyceryl capryl ether"
"drug","2-hexenal propylene glycol acetal, (1e)-"
"drug","2-hexenal, (2e)-"
"drug","2-hydroxyacetophenone"
"drug","2-hydroxydecanoate"
"drug","2-hydroxyethyl acrylate"
"drug","2-hydroxyethyl methacrylate"
"drug","2-hydroxypropyl methacrylate"
"drug","2-isobutyl-4-methyltetrahydropyran-4-ol"
"drug","2-ketogluconate"
"drug","2-mercaptobenzothiazole"
"drug","2-mercaptoethanesulfonic acid"
"drug","2-methacryloyloxyethyl phosphorylcholine"
"drug","2-methoxy-1-propanol"
"drug","2-methyl-1,2-benzoisothiazolin-3-one"
"drug","2-methyl-2-methylamino-1-propanol"
"drug","2-methyl-2-propylpropane-1,3-diol"
"drug","2-methyl-4-isothiazolin-3-one"
"drug","2-methyl-4-phenyl-2-butanol"
"drug","2-methyl 5-cyclohexylpentanol"
"drug","2-methylbutyric acid"
"drug","2-methylundecanal"
"drug","2-n-octyl-4-isothiazolin-3-one"
"drug","2-naphthalenesulfonate"
"drug","2-nitropropane"
"drug","2-nonylphenol"
"drug","2-o-ethyl ascorbic acid"
"drug","2-octanol"
"drug","2-octyl cyanoacrylate"
"drug","2-octyldodecyl 5-oxo-l-prolinate"
"drug","2-oleamido-1,3,4-octadecatriyl prolinate"
"drug","2-phenyldodecane-p-sulfonate"
"drug","2-phenylphenol"
"drug","2-propanol, 1,1'-oxybis(3-(1-naphthalenyloxy))-"
"drug","2-propenoic acid, 2-cyano-3,3-diphenyl-2,2-bis(((2-cyano-1-oxo-3,3-diphenyl-2-propenyl)oxy)methyl)-1,3-propanediyl ester"
"drug","2-propoxy-1-propanol"
"drug","2-pyrrolidone"
"drug","2-sec-butyl cyclohexanone"
"drug","2-sulfolaurate"
"drug","2-sulfopalmitate"
"drug","2-tert-butylcyclohexyl acetate"
"drug","2-tert-butylcyclohexyloxybutanol"
"drug","2-tert-butylhydroquinone"
"drug","2-trimethylammonioethyl methacrylate"
"drug","2,10,15,19,23-pentahydrosqualene"
"drug","2,2'-dihydroxy-4,4'-dimethoxy-5,5'-disulfobenzophenone"
"drug","2,2'-dithiobisbenzothiazole"
"drug","2,2'-oxydipropanol"
"drug","2,2',2'',2'''-((4-((2-hydroxyethyl)amino)-8-(piperidin-1-yl)pyrimido(5,4-d)pyrimidine-2,6-diyl)dinitrilo)tetraethanol"
"drug","2,2',3,3',4,4',5,5',6-nonachlorodiphenyl either"
"drug","2,2-bis(4-glycidyloxyphenyl)propane"
"drug","2,2-bis(4-hydroxy-3-tert-butylphenyl)propane"
"drug","2,2-dichloro-1-(2-chlorophenyl)ethanol"
"drug","2,2-dinitropropyl acrylate"
"drug","2,2,2-trifluoroacetophenone"
"drug","2,2,4,4,6,8,8-heptamethylnonane"
"drug","2,2,5-trimethylhexane"
"drug","2,3'-iminodi-benzoic acid"
"drug","2,3-dichloro-5,6-dicyanobenzoquinone"
"drug","2,3-dichlorobenzoic acid"
"drug","2,3-dihydroxyacetophenone"
"drug","2,3-dihydroxybenzoic acid"
"drug","2,3-dimercapto-1-propanesulfonic acid"
"drug","2,3-dimethylacrylic acid, (e)-"
"drug","2,3 di-o-methyl-d-glucose"
"drug","2,3,5,6-tetrafluorophenol"
"drug","2,4-d-trolamine"
"drug","2,4-d diethylethanolamine"
"drug","2,4-d morpholine"
"drug","2,4-diamino-5-methylphenoxyethanol"
"drug","2,4-diaminophenoxyethanol"
"drug","2,4-dichlorophenoxyacetate"
"drug","2,4-dimethyl-3-cyclohexene carboxaldehyde"
"drug","2,4-dimethylnonan-4-ol"
"drug","2,4,5-t-isopropyl"
"drug","2,4,5-t-trolamine"
"drug","2,4,5-t dimethylammonium"
"drug","2,4,5-t triethylammonium"
"drug","2,4,6,8-tetramethyl-2,4,6,8-tetravinylcyclotetrasiloxane"
"drug","2,4,6,8-tetramethyltetraphenylcyclotetrasiloxane, (2.alpha.,4.alpha.,6.beta.,8.beta.)-"
"drug","2,5-di-tert-pentylhydroquinone"
"drug","2,5-diaminotoluene"
"drug","2,5-dimethylbenzene-1-sulfonate"
"drug","2,5-piperazinedione"
"drug","2,6-di-tert-butyl-4-((methylthio)methyl)phenol"
"drug","2,6-di-tert-butyl-4-methoxyphenol"
"drug","2,6-dimethyl-5-heptenal"
"drug","2,6-octadienal, (2e,6e)-"
"drug","2,6,10-trimethyl-9-undecenal"
"drug","2h-tricosafluoro-5,8,11,14-tetrakis(trifluoromethyl)-3,6,9,12,15-pentaoxaoctadecane"
"drug","3'-hydroxyacetophenone"
"drug","3-((3-chlorophenyl)(4-(methylsulfonyl)phenyl)methylene)dihydro-2(3h)-furanone, (3z)-"
"drug","3-((l-menthyl)oxy)propane-1,2-diol"
"drug","3-(2-dodecen-1-yl)dihydro-2,5-furandione, (2e)-"
"drug","3-(3-methyl-2-thienyl)acrylic acid"
"drug","3-(3,4-methylenedioxyphenyl)-2-methylpropanal"
"drug","3-(l-menthoxy)-2-methylpropane-1,2-diol"
"drug","3-(nonyloxy)1,2-propanediol"
"drug","3-(p-methoxyphenyl)propylene-1,2-oxide"
"drug","3-(triethoxysilyl)propylamine"
"drug","3-aminophenol"
"drug","3-bromocamphor, (+-)-"
"drug","3-carene"
"drug","3-chloro-2-hydroxypropylcocoalkyldimethylammonium chloride"
"drug","3-dimethylaminopropylamine"
"drug","3-ethyl-3-oxetanemethanol"
"drug","3-hexen-1-ol, (3z)-"
"drug","3-hexenyl acetate, (3z)-"
"drug","3-hexenyl butyrate, (3z)-"
"drug","3-hexenyl hexanoate, (3z)-"
"drug","3-hexenyl salicylate, cis-"
"drug","3-hexyloxypropylene glycol"
"drug","3-hydroxy-4-methoxybenzenesulfonate"
"drug","3-iodo-1-propanol"
"drug","3-iodo-2-propynol"
"drug","3-iodo-2-propynylbutylcarbamate"
"drug","3-iodobenzylguanidine"
"drug","3-methylpentadecane"
"drug","3-n-butylphthalide"
"drug","3-nonylphenol"
"drug","3-o-ethyl ascorbate"
"drug","3-o-methyldpamine"
"drug","3-phenyl-1-propanol"
"drug","3-phenyl propionic acid"
"drug","3-phytase b (aspergillus niger)"
"drug","3,3'-dihydroxydipropyl ether"
"drug","3,3'-diindolylmethane"
"drug","3,4-methylenedioxybenzoyl methylsulfone"
"drug","3,4,9,10-perylenetetracarboxylic diimide"
"drug","3,5,5-trimethylhexanal"
"drug","3,5,5-trimethylhexyl acetate"
"drug","3,7-dimethyl-1-octanol"
"drug","3,7-dimethyloct-6-en-3-ol"
"drug","3,7-dimethyloctanal"
"drug","3,7-dimethyloctane-1,7-diol"
"drug","3,7,11,15-tetramethyl-1,2,3-hexadecanetriol"
"drug","3a,4,5,6,7,7a-hexahydro-1h-4,7-methanoinden-6-yl acetate"
"drug","4'-galactosyllactose"
"drug","4-((4,6-bis(octylthio)-1,3,5-triazin-2-yl)amino)-2,6-bis(1,1-dimethylethyl)-phenol"
"drug","4-(p-hydroxyphenyl)-2-butanone"
"drug","4-(p-hydroxyphenyl)-2-butanone acetate"
"drug","4-acetoxy-3-pentyltetrahydropyran"
"drug","4-acetylanisole"
"drug","4-allyl-2,6-dimethoxyphenol"
"drug","4-amino-2-hydroxytoluene"
"drug","4-aminobenzoate"
"drug","4-aminobenzoic acid"
"drug","4-aminohippuric acid"
"drug","4-aminomethylbenzoic acid"
"drug","4-aminophenol"
"drug","4-anisic acid"
"drug","4-butylresorcinol"
"drug","4-coumaric acid"
"drug","4-cresyl acetate"
"drug","4-cymene"
"drug","4-desoxypyridoxine"
"drug","4-dimethylaminophenol"
"drug","4-hydroxy-1-(5-isocamphyl)cyclohexane"
"drug","4-hydroxy-2,5-dimethylfuran-2(3h)-one"
"drug","4-hydroxy acetophenone"
"drug","4-hydroxybenzoic acid"
"drug","4-hydroxybenzyl alcohol"
"drug","4-methoxybenzoyloxyacetic acid"
"drug","4-methyl-1-(1-methylethyl)-3-cyclohexen-1-ol"
"drug","4-methyl-1-pentanol"
"drug","4-methyl-1,4-pentanediyl dimethacrylate"
"drug","4-methyl-3-decen-5-ol"
"drug","4-methyl anisole"
"drug","4-methylaminorex, cis-(+/-)-"
"drug","4-methylphenethyl alcohol"
"drug","4-n-octylphenol"
"drug","4-nonylphenol"
"drug","4-phenylenediamine"
"drug","4-terpineol, (+)-"
"drug","4-tert-butylcyclohexanol"
"drug","4-tert-butylcyclohexanol, cis-"
"drug","4-tert-butylcyclohexanyl acetate, trans-"
"drug","4-tert-butylcyclohexyl acetate"
"drug","4,4'-dinitrocarbanilide"
"drug","4,4-dimethyloxazolidine"
"drug","4,5-dichloro-2-octyl-3-isothiazolone"
"drug","4,7,10,13,16,19-docosahexaenoic acid, (4e,7e,10e,13e,16e,19e)-"
"drug","5-bromo-2-acetylsalicylic acid"
"drug","5-bromo-4-chloro-3-indolyl phosphate"
"drug","5-bromo-5-nitro-1,3-dioxane"
"drug","5-chloro-2-methyl-3-isothiazolone 1-oxide"
"drug","5-chloro-2-methyl-4-isothiazolin-3-one"
"drug","5-hydroxylysine"
"drug","5-hydroxymethyl(methyleneoxy)-1-aza-3,7-dioxabicyclo(3,3,0)octane"
"drug","5-hydroxytryptophan"
"drug","5-hydroxytryptophan, d-"
"drug","5-hydroxytryptophan, dl-"
"drug","5-methoxypsoralen"
"drug","5-methoxytryptamine"
"drug","5-methyl-1,3,5-triphenyl-2-pyrazoline"
"drug","5-methyl-8-hydroxyquinoline"
"drug","5-methyldeoxycytidine"
"drug","5-methyltetrahydrofolic acid"
"drug","5-norbornene-2-methylolacrylate"
"drug","5.alpha.-hydroxy laxogenin"
"drug","6-aminocaproic acid"
"drug","6-methyl citronellol"
"drug","6-o-palmitoylascorbic acid"
"drug","6-tert-butyl-3-methyl-2,4-dinitroanisole"
"drug","7-aminodesacetoxycephalosporanic acid"
"drug","7-behenoylstearate"
"drug","7-dehydrocholesterol"
"drug","7-oxo-prasterone"
"drug","7-oxodehydroepiandrosterone 3-acetate"
"drug","8-(n-indolyl)-2,6-dimethyl-7-octen-2-ol"
"drug","8-epi-cyanocobalamin"
"drug","8-p-menthene-1,2-diol, (+)-"
"drug","9-octadecenamide, n-(2-hydroxy-1-(hydroxymethyl)heptadecyl)-, (9z)-"
"drug","9,10-anthraquinone"
"drug","abacavir"
"drug","abaloparatide"
"drug","abametapir"
"drug","abarelix"
"drug","abatacept"
"drug","abcb4 protein, human"
"drug","abciximab"
"drug","abelmoschus esculentus seed extract"
"drug","abelmoschus esculentus whole extract"
"drug","abelmoschus manihot flower extract"
"drug","abelmoschus manihot whole extract"
"drug","abelmoschus moschatus flower extract"
"drug","abelmoschus moschatus seed extract"
"drug","abelmoschus moschatus whole extract"
"drug","abemaciclib"
"drug","abetimus"
"drug","abies alba leaf oil"
"drug","abies alba leafy twig extract"
"drug","abies balsamea leaf oil"
"drug","abies koreana leaf extract"
"drug","abies sachalinensis var. sachalinensis oil"
"drug","abies sibirica leaf oil"
"drug","abies sibirica whole extract"
"drug","abiraterone"
"drug","abrocitinib"
"drug","abronia frangrans flower extract"
"drug","abrus precatorius seed extract"
"drug","abrus precatorius whole extract"
"drug","absidia capillata allergenic extract"
"drug","abt-925"
"drug","abutilon theophrasti seed extract"
"drug","acacia angustissima bark extract"
"drug","acacia catechu bark extract"
"drug","acacia catechu whole extract"
"drug","acacia catechu wood extract"
"drug","acacia concinna fruit extract"
"drug","acacia dealbata flower extract"
"drug","acacia dealbata flower wax"
"drug","acacia dealbata pollen extract"
"drug","acacia decurrens extract"
"drug","acacia decurrens flower extract"
"drug","acacia decurrens flower wax"
"drug","acacia decurrens whole extract"
"drug","acacia nilotica bark extract"
"drug","acacia pollen extract"
"drug","acacia senegal flower extract"
"drug","acacia senegal whole extract"
"drug","acacia seyal whole extract"
"drug","acai berry extract"
"drug","acai extract"
"drug","acai fruit pulp"
"drug","acai oil"
"drug","acalabrutinib"
"drug","acalypha indica extract"
"drug","acamprosate"
"drug","acarbose"
"drug","acebutolol"
"drug","acecarbromal"
"drug","aceclofenac"
"drug","acefylline methylsilanol mannuronate"
"drug","aceglutamide"
"drug","acellular pertussis vaccine, inactivated"
"drug","acemannan"
"drug","acemetacin"
"drug","aceneuramate"
"drug","acenocoumarol"
"drug","acepromazine"
"drug","aceprometazine"
"drug","acer campestre leaf bud extract"
"drug","acer negundo inner bark extract"
"drug","acer negundo root bark extract"
"drug","acer negundo wood extract"
"drug","acer nigrum whole extract"
"drug","acer pensylvanicum whole extract"
"drug","acer pseudoplatanus pollen extract"
"drug","acer saccharinum whole extract"
"drug","acer saccharum bark-sap extract"
"drug","acer saccharum leaf extract"
"drug","acer saccharum sap extract"
"drug","acer saccharum whole extract"
"drug","acesulfame"
"drug","acetaldehyde"
"drug","acetamide"
"drug","acetamidoethoxyethanol"
"drug","acetamidopropyl trimonium"
"drug","acetaminophen"
"drug","acetanilide"
"drug","acetate"
"drug","acetazolamide"
"drug","acetiamine"
"drug","acetic acid"
"drug","acetic anhydride"
"drug","acetic monoethanolamide"
"drug","acetohexamide"
"drug","acetohydroxamic acid"
"drug","acetone"
"drug","acetophenazine"
"drug","acetophenone"
"drug","acetoxolone"
"drug","acetyl arginine"
"drug","acetyl carboxymethyl cocoyl glycine"
"drug","acetyl cedrene"
"drug","acetyl coenzyme a"
"drug","acetyl decapeptide-3"
"drug","acetyl dipeptide-1 cetyl ester"
"drug","acetyl farnesylcysteine"
"drug","acetyl glutamic acid"
"drug","acetyl hexamethyl tetralin"
"drug","acetyl hexapeptide-1"
"drug","acetyl hexapeptide-49"
"drug","acetyl hexapeptide-8"
"drug","acetyl octapeptide-3"
"drug","acetyl salicylate"
"drug","acetyl tetrapeptide-11"
"drug","acetyl tetrapeptide-15"
"drug","acetyl tetrapeptide-2"
"drug","acetyl tetrapeptide-3"
"drug","acetyl tetrapeptide-5"
"drug","acetyl tetrapeptide-9"
"drug","acetyl triethylhexyl citrate"
"drug","acetyl trifluoromethylphenyl valylglycine, dl-"
"drug","acetylarginyltryptophyl diphenylglycine"
"drug","acetylated lanolin"
"drug","acetylated lanolin alcohols"
"drug","acetylated sucrose distearate"
"drug","acetylcarnitine"
"drug","acetylcellulose"
"drug","acetylcholine"
"drug","acetylcholinesterase"
"drug","acetylcholinesterase human"
"drug","acetylcysteine"
"drug","acetyldigitoxin"
"drug","acetyldigoxins"
"drug","acetylene"
"drug","acetylglucosamine"
"drug","acetylmandelic acid, (+)-"
